,brewery_id,brewery_id,brewery_id,brewery_id,brewery_id,brewery_id,brewery_id,brewery_id,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,abv,abv,abv,abv,abv,abv,abv,abv,ibu,ibu,ibu,ibu,ibu,ibu,ibu,ibu,id,id,id,id,id,id,id,id,ounces,ounces,ounces,ounces,ounces,ounces,ounces,ounces
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbey Single Ale,2,57,0,57,57,57,57,57,2,716.5,3.535533906,714,715.25,716.5,717.75,719,2,0.049,0,0.049,0.049,0.049,0.049,0.049,2,22,0,22,22,22,22,22,2,2196,436.9919908,1887,2041.5,2196,2350.5,2505,2,12,0,12,12,12,12,12
Altbier,13,220,137.4712091,25,122,200,270,490,13,1124.153846,703.3425962,89,575,1070,1519,2274,13,0.054384615,0.006898532,0.046,0.05,0.052,0.055,0.072,8,34.125,8.339878382,18,29.75,36.5,40,43,13,1480.923077,763.209611,502,936,1248,2339,2605,13,13.53846154,2.025478734,12,12,12,16,16
American Adjunct Lager,18,163,89.90321593,38,131,131,149.75,473,18,1684.277778,489.6117076,507,1372.25,1994.5,2001.75,2222,18,0.048722222,0.004308754,0.039,0.047,0.0485,0.05075,0.055,11,11,3.768288736,8,9,9,12,19,18,1714.055556,822.1450045,97,1099.25,2167,2273.75,2369,18,13.33333333,3.067859955,12,12,12,12,24
American Amber / Red Ale,133,248.0451128,158.2656409,4,101,219,375,552,133,1146.699248,656.2511297,41,572,1193,1701,2409,125,0.057456,0.008679327,0.035,0.052,0.055,0.06,0.082,77,36.2987013,19.63017611,15,24,31,42,115,133,1272.398496,791.0921291,28,677,1179,1952,2660,133,13.29323308,1.878030702,12,12,12,16,16
American Amber / Red Lager,29,305.9655172,169.8372083,35,129,390,439,533,29,1324.62069,759.3117849,62,751,1415,2014,2381,28,0.049464286,0.004638663,0.04,0.046,0.049,0.05425,0.057,16,23.25,9.391485505,8,18,23,26,45,29,1154.413793,723.0348498,65,514,1207,1598,2588,29,13.24137931,2.641092474,12,12,12,12,24
American Barleywine,3,317,47.50789408,274,291.5,309,338.5,368,3,1206,1034.758426,21,843.5,1666,1798.5,1931,3,0.099,1.70E-17,0.099,0.099,0.099,0.099,0.099,2,96,5.656854249,92,94,96,98,100,3,1368.333333,472.3180426,1036,1098,1160,1534.5,1909,3,10.8,2.078460969,8.4,10.2,12,12,12
American Black Ale,36,261.8611111,156.1748384,10,130.75,255.5,393.25,530,36,1089.861111,697.2614657,35,517.25,904.5,1778.5,2154,35,0.068971429,0.012566261,0.05,0.06,0.068,0.0735,0.099,20,68.9,21.36130294,9,62.5,73,81.25,100,36,1562.416667,641.5649338,173,1187.5,1598.5,2033.25,2631,36,13.88888889,2.025237591,12,12,12,16,16
American Blonde Ale,108,253.2222222,152.42742,13,126,227.5,385.25,550,108,1107.231481,622.8226763,40,639.75,1042.5,1685.75,2378,104,0.049634615,0.004940535,0.035,0.047,0.05,0.05225,0.065,61,20.98360656,7.281235708,8,17,20,23,50,108,1320.527778,715.1942872,44,726.25,1288,1912,2632,108,13.18518519,2.06505481,12,12,12,16,24
American Brown Ale,70,238.9285714,166.6848386,5,80.25,213.5,377.25,551,70,1226.828571,707.9052784,44,622,1229.5,1846.5,2389,68,0.057926471,0.009706616,0.04,0.051,0.055,0.06425,0.095,38,29.89473684,12.32617403,10,22,26,33,65,70,1282.985714,792.5112442,16,671,1156.5,1820.25,2656,70,13.40571429,2.089857197,12,12,12,16,19.2
American Dark Wheat Ale,7,250.7142857,156.8435678,74,119.5,282,327.5,505,7,1720.714286,526.6050748,939,1396,1655,2211,2237,6,0.052333333,0.008115828,0.04,0.047,0.0555,0.058,0.06,5,27.6,15.15915565,9,18,25,43,43,7,1023.714286,700.398866,121,698,846,1278.5,2246,7,13.14285714,1.951800146,12,12,12,14,16
American Double / Imperial IPA,105,213.5714286,143.5778305,1,98,175,317,531,105,1272.790476,735.1915069,3,594,1377,1957,2398,103,0.087368932,0.007015376,0.069,0.082,0.087,0.092,0.099,75,93.32,17.53079144,30,85,91,102,138,105,1462.009524,764.1091784,4,805,1513,2063,2686,105,14.16380952,2.869304519,12,12,12,16,32
American Double / Imperial Pilsner,2,324.5,3.535533906,322,323.25,324.5,325.75,327,2,1660.5,928.4312037,1004,1332.25,1660.5,1988.75,2317,2,0.0775,0.003535534,0.075,0.07625,0.0775,0.07875,0.08,1,85,,85,85,85,85,85,2,1468,28.28427125,1448,1458,1468,1478,1488,2,14,2.828427125,12,13,14,15,16
American Double / Imperial Stout,9,190.2222222,176.5897631,5,10,206,309,426,9,1075.777778,827.5454335,134,438,833,1927,2281,9,0.093666667,0.006403124,0.08,0.092,0.095,0.099,0.099,3,62,19.92485885,50,50.5,51,68,85,9,1664,799.126398,552,1031,1425,2562,2657,9,15.02222222,2.490872226,12,12,16,16,19.2
American IPA,424,229.3584906,152.7843047,0,94,207,345,556,424,1209.360849,707.3503815,2,639,1164,1846.5,2399,417,0.064527578,0.008799302,0.027,0.061,0.065,0.07,0.094,301,67.6345515,16.0526011,30,60,69,75,135,424,1484.117925,742.697954,10,880.5,1593,2090.75,2692,424,13.58113208,2.415321982,12,12,12,16,32
American India Pale Lager,3,2,0,2,2,2,2,2,3,1121,1,1120,1120.5,1121,1121.5,1122,3,0.062666667,0.012096832,0.049,0.058,0.067,0.0695,0.072,3,63.33333333,17.55942292,45,55,65,72.5,80,3,2670,1,2669,2669.5,2670,2670.5,2671,3,13.33333333,2.309401077,12,12,12,14,16
